Timestamp,How often do you visit Centennial Park?,How far do you travel to get to the Park?,Why do you visit the Park? (check all that apply),"On a scale of 1 to 10, with 1 being ""Very poorly"" and 10 being ""Very well"", how do you feel that the Park is maintained?",Did you notice any issues in the Park today? (check all that apply),Do you believe the Park could benefit from more ongoing activities or services?,"If yes, which activities or services would you most like to see? (select all that apply)","On a scale of 1-10, with 1 being ""Not safe at all"" and 10 being ""Very safe"", how safe do you feel in the Park?","Were you aware that there is a nonprofit support group, Centennial Park Conservancy, that helps to underwrite Park improvements and arts & educational programs in the Parthenon and Park through donations and memberships?",Are you a member of Centennial Park Conservancy?,Is there anything else you would like to share with us today?,What is your age?,What is your race / ethnicity?,What is your ethnicity?,What is your gender?,Would you like to receive monthly updates about events and programs in Centennial Park?,Would you like to learn more about becoming a member of Centennial Park Conservancy?
8/29/2022 10:36:26,Occasionally,"10+ miles away, but no more than 50 miles","Spend time in an outdoor green space, Visit the Parthenon, Attend events, Picnic, Walk dog",9,Trash or litter,Yes,"More food and beverage options, Carousel, Paddle-boating would be nice ",10,Yes,No,,26-35,Black or African American,,Woman,Yes,No
8/30/2022 7:42:34,Daily,Less than a mile away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Attend events, Visit the playground",4,"Trash or litter, Landscaping issues",Yes,"More food and beverage options, Public restrooms",3,Yes,No,The park could use squirrel proof trash cans.  Also just enforce the already existing laws about no overnight camping in the park.   I in the park daily and have been for over a year and have never seen law enforcement although they seem to have a lot of cars at the office in the back. BTW people camp right next to their building under the pavilion ironic. ,56-65,Prefer not to say,,Man,Yes,Yes
8/30/2022 20:27:20,Monthly,Greater than 50 miles,Visit Centennial Performing Arts Studios,10,Signage unclear,No,Public restrooms,10,No,No,No,46-55,White,,Woman,Yes,Yes
8/30/2022 21:26:40,Occasionally,"10+ miles away, but no more than 50 miles",Spend time in an outdoor green space,10,"Signage unclear, Nothing ",Yes,"Events, Public restrooms",8,No,No,"A great park , good job on cleanliness",26-35,Black or African American,,Man,Yes,Yes
8/30/2022 23:15:06,Weekly,"10+ miles away, but no more than 50 miles",Picnic,8,Landscaping issues,Yes,"Events, More food and beverage options, Public restrooms",5,Yes,No,Yes,26-35,White,,Man,Yes,Yes
8/31/2022 9:59:24,Rarely,"From out of State, but in the U.S.","Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Enjoy the great varieties of trees.  I wish they had identity markers",10,I would love to have sign plates with the names of the amazing trees and plants,No,,10,Yes,No,,56-65,White,,Woman,No,No
8/31/2022 12:36:05,Weekly,"10+ miles away, but no more than 50 miles","Spend time in an outdoor green space, Exercise (walk, bike, run), Feed the ducks",10,Signage unclear,Yes,"Events, More food and beverage options, Walking/golf cart tours, Carousel, Public restrooms",8,No,No,Althealee2013@gmail.com,46-55,Black or African American,,Woman,Yes,Yes
8/31/2022 18:27:57,Monthly,6 - 9 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Picnic, Feed the ducks, Visit the playground",7,One goose with two injured wings. ,Yes,"Carousel, Public restrooms",8,No,No,Thank you for all you do!,36-45,White,,Woman,Yes,Yes
9/1/2022 9:24:10,Daily,Less than a mile away,"Exercise (walk, bike, run)",8,"Landscaping issues, The fake grass holds water so you can no longer picnic and prevents insects /bees",No,Public restrooms,6,Yes,No,"Preferred REAL grass with clover, dandelions, nettle to be a sustainable green space. Now you have to use chemicals to maintain and it’s not usable for children, humans, bees, birds.",46-55,White,,Woman,No,No
9/1/2022 18:21:48,Occasionally,"10+ miles away, but no more than 50 miles","Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Feed the ducks",9,homeless people getting close to others,Yes,"Events, Walking/golf cart tours, Carousel, Public restrooms",7,No,No,"a food dispenser for duck food would be great!! many times we forget to bring food, and also it could be healthier for the ducks! ofc one could pay with coins and or cash or card.",16-25,Prefer not to say,,Woman,Yes,Yes
9/3/2022 14:18:02,Occasionally,6 - 9 miles away,"Spend time in an outdoor green space, Visit the Parthenon, Vacation ",10,Signage unclear,Yes,"Events, More food and beverage options",10,Yes,No,,26-35,White,,Woman,No,No
9/3/2022 18:37:55,Weekly,1 - 5 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Feed the ducks, Play sports",9,none,Yes,"Events, More food and beverage options, Public restrooms",9,No,No,,Prefer not to say,Prefer not to say,,Woman,No,No
9/4/2022 13:03:58,Weekly,Less than a mile away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Picnic, Play sports",10,None ,Yes,"Events, More food and beverage options, Public restrooms",10,No,No,,16-25,Multiracial,,Woman,Yes,Yes
9/4/2022 15:41:30,Rarely,"From out of State, but in the U.S.","Spend time in an outdoor green space, Visit the Parthenon, Feed the ducks",8,Trash or litter,Yes,Public restrooms,8,No,No,,26-35,White,,Man,No,No
9/5/2022 10:17:09,Rarely,"From out of State, but in the U.S.","Exercise (walk, bike, run)",10,No,No,,10,No,No,,26-35,White,,Woman,No,No
9/6/2022 10:50:49,Monthly,1 - 5 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Attend events, Picnic, Walk dog, Visit the playground",10,None,Yes,"Events, More food and beverage options, Public restrooms",8,Yes,No,Great place to bring a toddler who needs to run around!,16-25,White,,Woman,Yes,No
9/6/2022 13:39:33,Occasionally,"From out of State, but in the U.S.","Spend time in an outdoor green space, Exercise (walk, bike, run)",10,None!,Yes,Walking/golf cart tours,10,No,No,,26-35,White,,Woman,No,No
9/6/2022 13:40:50,Rarely,"From out of State, but in the U.S.","Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon",10,None,Yes,Walking/golf cart tours,10,No,No,,26-35,White,,Woman,No,No
9/6/2022 13:41:07,Rarely,"From out of State, but in the U.S.","Spend time in an outdoor green space, Exercise (walk, bike, run)",7,None,Yes,"Events, More food and beverage options, Carousel, Public restrooms",7,No,No,,26-35,White,,Woman,No,No
9/7/2022 17:35:58,Weekly,6 - 9 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Attend events",9,None,Yes,"Events, Public restrooms",9,No,No,,Prefer not to say,Prefer not to say,,Man,Yes,Yes
9/8/2022 11:47:49,Weekly,Less than a mile away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Walk dog",9,Trash or litter,Yes,More food and beverage options,9,Yes,Yes,,36-45,White,,Woman,No,No
9/8/2022 17:16:56,Daily,1 - 5 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Picnic, Feed the ducks",10,No problems i can see,Yes,"More food and beverage options, Carousel, Public restrooms",10,No,No,I enjoy the scenery and the peacefulness of the park.,Prefer not to say,Prefer not to say,,Prefer not to say,No,No
9/11/2022 9:29:32,Rarely,"From out of State, but in the U.S.","Spend time in an outdoor green space, Exercise (walk, bike, run), Walk dog",10,Na,Yes,"Events, More food and beverage options, Walking/golf cart tours, Public restrooms",7,No,No,Most everyone was extreme friendly at the park. We did encounter a few homeless that were begging for money as we entered the park with our dogs. ,26-35,White,,Man,Yes,No
9/11/2022 11:45:03,Rarely,"10+ miles away, but no more than 50 miles","Spend time in an outdoor green space, Visit the Parthenon, Attend events",7,"Trash or litter, Signage unclear",Yes,"Events, Public restrooms",8,No,No,Moving the signage about feeding the waterfowl proper items to more visible areas & adding more signage throughout the pond area would help. Perhaps having a waterfowl food vendor so persons can buy a cupful might be a good idea.,36-45,Hispanic or Latinx,,Woman,No,No
9/11/2022 16:02:55,Daily,Less than a mile away,"Spend time in an outdoor green space, Attend events, Walk dog, Visit the dog park",5,"Trash or litter, no doggy bag dispensers so dog waste all over",Yes,"Events, More food and beverage options, Doggy bag dispensers",7,No,No,Just please add some doggy bag dispensers and if possible some way to clean all the goose poo off the walking paths. Dog park needs cleaned too. People dump trash all over and don’t clean after their dogs.,16-25,Prefer not to say,,Prefer not to say,Yes,No
9/11/2022 17:39:50,Monthly,1 - 5 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Play sports",9,"Damage or deterioration, Trash or litter",Yes,"Public restrooms, More trees and plants, especially near the entrance",9,Yes,No,,26-35,White,,Man,No,No
9/12/2022 11:41:01,Monthly,"10+ miles away, but no more than 50 miles","Spend time in an outdoor green space, Exercise (walk, bike, run), Visit Centennial Arts Center, Attend events, Enjoy the green space ",9,Signage unclear,No,,5,Yes,No,Please repaint the mileage for the 1 mile distance around the beautiful pond.,56-65,White,,Woman,No,No
9/12/2022 13:06:01,Occasionally,"10+ miles away, but no more than 50 miles","Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Visit Centennial Arts Center, Attend events, Picnic, Walk dog",8,None,Yes,"Events, Public restrooms",8,Yes,No,The renovation is beautiful and is better designed for events. Nice job! ,56-65,White,,Man,No,No
9/12/2022 14:23:10,Daily,Less than a mile away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Picnic, Feed the ducks, Use the volleyball courts",1,"Damage or deterioration, The swings are so loud and make a creaking noise get some WD-40 it’s cheap I’m sure you can afford it if you can afford all of the swings",No,,10,No,No,,26-35,White,,Man,No,No
9/13/2022 18:20:00,Weekly,6 - 9 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Attend events, Picnic, Walk dog, Visit the playground, Use the volleyball courts, Play sports",9,Na,Yes,"Events, Walking/golf cart tours",10,Yes,No,I love centennial park :),16-25,Prefer not to say,,Woman,Yes,Yes
9/14/2022 12:19:33,Rarely,"10+ miles away, but no more than 50 miles","Exercise (walk, bike, run)",9,Not park benches ,No,,8,No,No,,36-45,Multiracial,,Man,Yes,No
9/17/2022 13:20:15,Occasionally,6 - 9 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon",7,Damage or deterioration,Yes,"Walking/golf cart tours, Public restrooms",9,No,No,,16-25,White,,Non-binary/non-conforming,No,No
9/17/2022 14:06:17,Occasionally,"10+ miles away, but no more than 50 miles","Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Visit Centennial Performing Arts Studios, Attend events, Visit the dog park",8,Signage unclear,Yes,"Events, More food and beverage options",8,Yes,No,,26-35,White,,Man,Yes,Yes
9/18/2022 22:59:33,Rarely,"From out of State, but in the U.S.","Spend time in an outdoor green space, Visit the Parthenon",9,None,Yes,Public restrooms,9,No,No,,16-25,Prefer not to say,,Prefer not to say,No,No
9/19/2022 11:45:13,Rarely,"From out of State, but in the U.S.",Visited on recommendation of friend ,2,"Damage or deterioration, Trash or litter, Landscaping issues, Broken swings, deteriorating tables",Yes,"More food and beverage options, More benches, more shade cover, coffee and snacks, playground equipment ",5,Yes,No,This was a disappointing visit. We have been to parks all over and was surprised at the neglected psrk,56-65,White,,Woman,No,No
9/21/2022 9:46:03,Occasionally,1 - 5 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon",9,Trash or litter,Yes,Public restrooms,9,No,No,,26-35,White,,Man,No,No
9/21/2022 12:23:20,Daily,Less than a mile away,"Spend time in an outdoor green space, Exercise (walk, bike, run)",8,Landscaping issues,Yes,"More food and beverage options, Walking/golf cart tours",9,Yes,No,Jehovah’s Witness stand is irritating with them harassing everyone,36-45,Black or African American,,Woman,No,No
9/22/2022 12:13:46,Rarely,"From out of State, but in the U.S.","Spend time in an outdoor green space, Visit the Parthenon, Visit Centennial Arts Center, Visit the playground",9,Trash or litter,Yes,"More food and beverage options, Public restrooms",10,Yes,No,It was a very beautiful site and may visitors for a great well maintained park. There was only a little litter that was from some soft drinks that I saw of. I think more available bathrooms would be a great addition to the park.,16-25,Hispanic or Latinx,,Man,No,No
9/22/2022 14:06:16,Monthly,1 - 5 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Visit Centennial Arts Center, Visit Centennial Performing Arts Studios, Attend events, Picnic, Walk dog, Visit the dog park, Feed the ducks, Visit the playground, Use the volleyball courts, Play sports",10,A goose/duck appeared to be hurt- loss of feathers,Yes,"Events, More food and beverage options, Walking/golf cart tours, Carousel, Public restrooms",10,No,No,I am quite worried about animal welfare in the park,26-35,White,,Woman,No,No
9/23/2022 15:39:48,Occasionally,"10+ miles away, but no more than 50 miles","Spend time in an outdoor green space, leare1988@gmail.com",5,"Trash or litter, Lake dirty ",Yes,"More food and beverage options, Walking/golf cart tours, Public restrooms, leare1988@gmail.com",7,No,No,I love this park,26-35,Hispanic or Latinx,,Woman,Yes,No
9/23/2022 15:40:58,Weekly,"10+ miles away, but no more than 50 miles","Spend time in an outdoor green space, Visit the Parthenon",5,Trash or litter,Yes,"Events, Public restrooms",8,No,No,,26-35,Hispanic or Latinx,,Non-binary/non-conforming,Yes,No
9/23/2022 16:37:36,Occasionally,"10+ miles away, but no more than 50 miles",Spend time in an outdoor green space,5,"Damage or deterioration, Trash or litter, Signage unclear, Lake dirty",Yes,"Events, More food and beverage options, Walking/golf cart tours, Public restrooms",7,No,No,I love this park,26-35,Hispanic or Latinx,,Woman,Yes,No
9/24/2022 12:27:18,Rarely,"From out of State, but in the U.S.","Spend time in an outdoor green space, Visit the Parthenon",10,No issues,Yes,"Walking/golf cart tours, Carousel, Public restrooms",10,No,No,,26-35,White,,Woman,No,No
9/24/2022 12:34:54,Occasionally,Greater than 50 miles,"Spend time in an outdoor green space, Visit the Parthenon, Picnic",10,none!,Yes,"Events, Public restrooms",10,No,No,,16-25,White,,Woman,No,No
9/25/2022 15:47:42,Weekly,"10+ miles away, but no more than 50 miles","Exercise (walk, bike, run)",10,Trash or litter,Yes,More food and beverage options,10,No,No,,16-25,Multiracial,,Non-binary/non-conforming,Yes,No
9/26/2022 12:56:29,Rarely,"From out of State, but in the U.S.","Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon",10,None,Yes,"Events, More food and beverage options, Carousel",10,No,No,,16-25,Hispanic or Latinx,,Woman,No,No
9/27/2022 11:18:46,Daily,1 - 5 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Visit Centennial Arts Center, Visit Centennial Performing Arts Studios, Attend events, Picnic, Walk dog, Visit the dog park, Visit the playground, Use the volleyball courts, Play sports",1,"Trash or litter, Homeless people living in the park",Yes,Public restrooms,1,No,No,Please get rid of the homeless people living in the park,36-45,Hispanic or Latinx,,Man,No,No
10/1/2022 21:28:52,Weekly,1 - 5 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), richveluzat@gmail.com",6,"Trash or litter, Signage unclear, Landscaping issues, Dying trees from lack of water or too much compacted dirt at base or pets.",No,"Maintenance of landcaping, irrigation.",6,Yes,No,Does the conservancy help protect the plants?,46-55,Prefer not to say,,Prefer not to say,Yes,Yes
10/2/2022 14:27:45,Weekly,1 - 5 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Attend events, Picnic",8,Trash or litter,Yes,Public restrooms,8,No,No,More benches near the lake would be amazing too!,26-35,White,,Woman,No,No
10/2/2022 15:10:30,Weekly,"10+ miles away, but no more than 50 miles","Spend time in an outdoor green space, Exercise (walk, bike, run)",7,Trash or litter,Yes,"Events, More food and beverage options",8,No,No,"More native species, flowering plants, green spaces in the city to connect.",26-35,White,,Man,Yes,Yes
10/5/2022 8:39:50,Occasionally,6 - 9 miles away,"Spend time in an outdoor green space, Visit the Parthenon, Attend events",8,Trash or litter,Yes,Public restrooms,9,Yes,No,It looks like a chair has been thrown in the lake.,26-35,White,,Man,Yes,No
10/5/2022 11:32:20,Rarely,"From out of State, but in the U.S.","Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon",10,All good,Yes,"Events, More food and beverage options",10,Yes,No,,26-35,White,,Woman,No,No
10/5/2022 18:12:28,Monthly,"10+ miles away, but no more than 50 miles","Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Attend events, Use the volleyball courts",9,Trash or litter,Yes,"Events, More food and beverage options, Carousel, Public restrooms",8,No,No,,26-35,White,,Woman,Yes,Yes
10/6/2022 13:09:46,Rarely,Greater than 50 miles,Tourists ,5,"Damage or deterioration, Trash or litter, So pretty but trashed a bit",Yes,Events,7,No,No,,66+,Prefer not to say,,Prefer not to say,No,No
10/6/2022 15:19:00,Rarely,"From out of State, but in the U.S.","Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon",7,Dry grass,Yes,"More food and beverage options, Public restrooms",6,No,No,"More picnic tables around the park , esp by the water ",16-25,White,,Woman,No,No
10/8/2022 15:11:03,Occasionally,"10+ miles away, but no more than 50 miles","Spend time in an outdoor green space, Visit the Parthenon, Attend events, Picnic, Feed the ducks",10,Trash or litter,Yes,Public restrooms,8,Yes,No,Why are there no longer benches around the duck pond?,46-55,White,,Woman,Yes,No
10/8/2022 15:22:08,Daily,6 - 9 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Picnic, Walk dog, Feed the ducks",2,"Trash or litter, homeless people thru out park at night ",No,"More food and beverage options, Walking/golf cart tours, Carousel, Public restrooms",5,No,No,homeless people  in park makes the park look bad,46-55,Black or African American,,Man,No,No
10/9/2022 10:24:18,Rarely,"From out of State, but in the U.S.","Spend time in an outdoor green space, Visit the Parthenon, Visit Centennial Arts Center",9,"Trash or litter, People feeding geese and ducks bread",Yes,Food/seed dispensers for duck and goose feed to encourage correct feeding,10,Yes,No,,16-25,White,,Woman,No,No
10/10/2022 5:37:09,Monthly,1 - 5 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Attend events, Picnic, Feed the ducks",7,Trash or litter,Yes,"Events, Public restrooms",10,No,No,I think maybe holding volunteer days where people come out and help clean up trash in the park would be helpful! I saw trash in the pond and just about everywhere else.,16-25,American Indian and Alaska Native,,Woman,Yes,No
10/12/2022 14:28:06,Rarely,"From out of State, but in the U.S.","Exercise (walk, bike, run), Visit the Parthenon",8,Trash or litter,Yes,"Events, Reminders to clean up after dogs/bag station ",9,No,No,"Maybe a couple of more trash cans throughout part, lots of debris in water today ",56-65,White,,Woman,No,No
10/14/2022 14:17:13,Weekly,Less than a mile away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Picnic",8,Landscaping issues,Yes,"More food and beverage options, Public restrooms",6,No,No,,16-25,White,,Woman,No,No
10/15/2022 11:54:35,Rarely,"From out of State, but in the U.S.","Spend time in an outdoor green space, Exercise (walk, bike, run), Attend events",2,"Trash or litter, Landscaping issues",Yes,"Events, Public restrooms, Fountains, more garbage cans, handicap accessible, less geese, bridges",8,No,No,,16-25,White,,Woman,No,No
10/15/2022 12:58:06,Rarely,"From out of State, but in the U.S.","Spend time in an outdoor green space, Exercise (walk, bike, run)",8,None,No,,9,No,No,,16-25,White,,Man,No,No
10/16/2022 15:52:41,Weekly,"10+ miles away, but no more than 50 miles",Spend time in an outdoor green space,9,None,Yes,"Events, Public restrooms",10,No,No,,36-45,White,,Man,Yes,Yes
10/16/2022 21:36:19,Occasionally,"10+ miles away, but no more than 50 miles","Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Attend events, Picnic",8,None,Yes,"Events, More food and beverage options, Walking/golf cart tours, Public restrooms",8,No,No,,16-25,White,,Woman,No,No
10/17/2022 8:14:27,Rarely,"From out of State, but in the U.S.","Exercise (walk, bike, run), Visit the Parthenon, Feed the ducks",9,None,Yes,Carousel,9,No,No,,16-25,White,,Woman,No,No
10/17/2022 12:51:31,Occasionally,Less than a mile away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Attend events",9,None of the above,Yes,Events,9,Yes,No,,26-35,White,,Woman,No,No
10/17/2022 12:53:11,Weekly,Less than a mile away,"Spend time in an outdoor green space, Exercise (walk, bike, run)",6,Landscaping issues,Yes,"More food and beverage options, Carousel, Public restrooms",7,No,No,,36-45,White,,Woman,Yes,No
10/19/2022 16:58:51,Occasionally,"10+ miles away, but no more than 50 miles","Spend time in an outdoor green space, Visit the Parthenon, Picnic, Use the volleyball courts",9,Landscaping issues,Yes,"Events, More food and beverage options, Public restrooms",9,No,No,,26-35,White,,Woman,No,No
10/23/2022 18:11:55,Weekly,6 - 9 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run)",9,Trash or litter,Yes,"Events, More food and beverage options, Walking/golf cart tours",10,Yes,No,,36-45,Black or African American,,Man,No,Yes
10/26/2022 15:56:40,Rarely,"From out of State, but in the U.S.",Visit the Parthenon,8,Trash or litter,Yes,Public restrooms,10,No,No,,36-45,White,,Woman,No,No
10/26/2022 16:19:22,Rarely,"From out of State, but in the U.S.",Visit the Parthenon,8,Trash or litter,Yes,"Events, Public restrooms",10,No,No,,36-45,White,,Woman,No,No
10/28/2022 5:43:17,Weekly,1 - 5 miles away,"Spend time in an outdoor green space, Visit the Parthenon, Visit Centennial Arts Center, Walk dog, Visit the dog park, Urban nature: to track seasonal changes ",8,"Nearly every new tree sapling is mulched incorrectly and dangerously. Root flares are submerged. This will cause girdling, adventitious roots, and promote bark decay and insect damage. It's not too late: a crew can (gently) scrape/brush mulch from the trunk and outward toward the dripline.",Yes,"Sustainable landscaping: oversight for all tree plantings (proper depth and mulching); mow/blow less often; stop spraying pesticides (I've seen crews spraying various locations, but the worst is the Sunken Garden, where blooming plants invite pollinators). Also, with few exceptions, the fall leaves do not need to be mown and removed. The leaf litter is valuable habitat and will also feed and fertilize the trees that dropped them.",8,Yes,No,Thank you for the new Duck Feeding signs! Thank you for the StoryWalk! Thank you for planting new Pawpaw trees near the revamped Children's garden! Pawpaw is the only tree our State butterfly can use for caterpillar food: the Zebra Swallowtail.,56-65,White,,Woman,Yes,Yes
11/4/2022 14:49:51,Monthly,1 - 5 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Visit Centennial Arts Center, Visit the playground, Read and reflect on markets, history & significance of this park in Nashville’s history —and my hostory",8,"How well the new lake circulation system handles the water, geese & leaves.  Amazingly well",Yes,Public restrooms,10,Yes,No,"This is one of the most important cross-racial, cross-cultural, cross-economic spaces in Nashville",66+,White,,Woman,Yes,Yes
11/5/2022 12:34:56,Rarely,"From out of State, but in the U.S.","Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Visit Centennial Arts Center, Feed the ducks",10,None,Yes,"Events, More food and beverage options, Walking/golf cart tours, Carousel, Public restrooms",10,No,No,,16-25,Hispanic or Latinx,,Woman,No,No
11/7/2022 11:57:39,Occasionally,"10+ miles away, but no more than 50 miles","Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon",7,Trash or litter,Yes,"More food and beverage options, Walking/golf cart tours, Public restrooms",7,No,No,,26-35,White,,Man,No,No
11/10/2022 16:23:01,Rarely,"From out of State, but in the U.S.","Spend time in an outdoor green space, Visit the Parthenon",9,Trash or litter,Yes,"Events, More food and beverage options, Carousel, Public restrooms",9,No,No,,36-45,White,,Woman,No,No
11/14/2022 14:45:46,Occasionally,1 - 5 miles away,"Spend time in an outdoor green space, Exercise (walk, bike, run)",10,None,No,,10,No,No,,36-45,White,,Woman,No,Yes
11/21/2022 14:46:01,Rarely,"From out of State, but in the U.S.","Spend time in an outdoor green space, Visit the Parthenon, Walk dog, Visit the playground",10,None,No,Leave as is!,10,Yes,No,,36-45,Hispanic or Latinx,,Woman,No,No
11/23/2022 8:46:10,Monthly,"10+ miles away, but no more than 50 miles","Spend time in an outdoor green space, Exercise (walk, bike, run), Attend events",7,Trash or litter,Yes,"Events, Walking/golf cart tours, Carousel, Public restrooms",6,Yes,No,,46-55,Prefer not to say,,Prefer not to say,No,No
11/24/2022 9:05:12,Occasionally,Greater than 50 miles,"Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Walk dog, Visit the dog park, Feed the ducks",9,Trash or litter,Yes,"Events, More food and beverage options, Public restrooms",9,No,No,,26-35,White,,Woman,No,No
11/24/2022 9:59:44,Rarely,"From out of State, but in the U.S.","Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Visit the playground",9,No issues ,No,,9,No,No,,56-65,White,,Man,No,No
11/24/2022 21:25:40,Occasionally,Greater than 50 miles,"Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Picnic, Visit the dog park, Feed the ducks",9,Trash or litter,Yes,"More food and beverage options, Public restrooms",9,No,No,,26-35,White,,Man,No,No
11/27/2022 11:08:44,Occasionally,"10+ miles away, but no more than 50 miles","Spend time in an outdoor green space, Exercise (walk, bike, run), Visit the Parthenon, Walk dog",9,Museum closed :(,Yes,"Events, Public restrooms, Coffee ",9,No,No,Thanks for this place ,36-45,Hispanic or Latinx,,Man,Yes,Yes
11/27/2022 22:11:15,Occasionally,Greater than 50 miles,"Exercise (walk, bike, run), Visit the Parthenon, Feed the ducks",1,"Damage or deterioration, Signage unclear, Landscaping issues",Yes,"Events, More food and beverage options, Public restrooms",6,No,No,,46-55,White,,Man,Yes,Yes
12/5/2022 9:14:38,Rarely,"From out of State, but in the U.S.","Spend time in an outdoor green space, Visit the Parthenon, Picnic",8,Trash or litter,Yes,"Events, Carousel, Public restrooms",9,Yes,No,,16-25,White,,Woman,No,No
